Date,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA
2022-05-09,17.231779098510742,60.64106369018555,19.298473358154297,14.907825469970703,12.134422302246094
2022-05-10,17.381807327270508,59.887901306152344,19.199718475341797,15.053902626037598,12.169877052307129
2022-05-11,17.987281799316406,62.38521194458008,19.841629028320312,15.313592910766602,12.364877700805664
2022-05-12,18.1265926361084,61.7588996887207,20.154354095458984,15.410974502563477,12.834654808044434
2022-05-13,18.36235237121582,61.687557220458984,20.39301300048828,15.589509010314941,12.887837409973145
2022-05-16,18.544525146484375,63.53477478027344,20.60698699951172,15.849202156066895,13.020792007446289
2022-05-17,18.303409576416016,63.26522445678711,20.788036346435547,16.173816680908203,13.05624771118164
2022-05-18,18.003355026245117,61.66376495361328,20.491764068603516,15.87354564666748,12.604199409484863
2022-05-19,18.308767318725586,63.30486297607422,20.425935745239258,15.751812934875488,12.533289909362793
2022-05-20,18.66240692138672,64.42269897460938,20.681047439575195,15.962814331054688,12.426925659179688
2022-05-23,19.396469116210938,65.73873901367188,21.21597671508789,16.22250747680664,12.480107307434082
2022-05-24,18.868330001831055,66.6266860961914,21.53693389892578,16.5633487701416,12.524425506591797
2022-05-25,19.137025833129883,66.83280944824219,21.15013885498047,16.37669563293457,12.44465160369873
2022-05-26,19.184791564941406,66.79316711425781,21.41348648071289,16.465965270996094,12.595335006713867
2022-05-27,18.271228790283203,67.95858001708984,21.528701782226562,16.70131492614746,12.595335006713867
2022-05-30,17.907001495361328,68.69588470458984,21.331188201904297,16.53900146484375,12.488970756530762
2022-05-31,17.94879913330078,68.3470458984375,21.528701782226562,16.63638687133789,12.577607154846191
2022-06-01,17.924915313720703,69.95642852783203,21.21597671508789,16.336124420166016,12.515562057495117
2022-06-02,17.769670486450195,71.27247619628906,21.306507110595703,16.27030372619629,12.515562057495117
2022-06-03,18.08016014099121,70.13084411621094,21.108985900878906,16.172828674316406,12.480107307434082
2022-06-06,18.092100143432617,70.20220184326172,21.034923553466797,16.189075469970703,12.45351505279541
2022-06-07,18.30705451965332,71.8432846069336,21.034923553466797,16.050987243652344,12.169877052307129
2022-06-08,18.217493057250977,69.36976623535156,20.631669998168945,15.766677856445312,12.196467399597168
2022-06-09,17.95476722717285,67.02307891845703,20.277799606323242,15.758556365966797,12.063511848449707
2022-06-10,17.70398712158203,67.0389404296875,19.833396911621094,15.522993087768555,12.045784950256348
2022-06-13,17.47709083557129,64.91424560546875,19.59473991394043,15.295551300048828,11.815328598022461
2022-06-14,17.674131393432617,64.78740692138672,19.46306610107422,15.141207695007324,11.655781745910645
2022-06-15,17.363637924194336,64.74774932861328,19.545360565185547,15.246816635131836,11.576007843017578
2022-06-17,16.306774139404297,61.37043380737305,19.298473358154297,15.011245727539062,11.549417495727539
2022-06-20,16.491880416870117,59.85619354248047,20.137897491455078,15.409263610839844,11.567145347595215
2022-06-21,16.163471221923828,60.25258255004883,19.923925399780273,15.299765586853027,11.673508644104004
2022-06-22,16.11570167541504,59.737274169921875,19.775794982910156,15.234100341796875,11.788737297058105
2022-06-23,15.81715202331543,57.55708312988281,19.323162078857422,14.831913948059082,11.815328598022461
2022-06-24,15.697734832763672,59.158538818359375,19.29024314880371,14.70878791809082,12.116694450378418
2022-06-27,16.706829071044922,61.877830505371094,19.40545654296875,14.913987159729004,12.161012649536133
2022-06-28,16.915817260742188,62.98773956298828,19.191486358642578,14.700591087341309,11.983738899230957
2022-06-29,16.766542434692383,62.46449279785156,18.993976593017578,14.446133613586426,12.063511848449707
2022-06-30,16.67697525024414,60.6965446472168,18.65656280517578,14.117814064025879,11.877374649047852
2022-07-01,17.035236358642578,59.5390739440918,18.80469512939453,14.224520683288574,12.196467399597168
2022-07-04,17.39946746826172,59.19817352294922,18.623645782470703,14.075764656066895,12.125557899475098
2022-07-05,16.7366886138916,58.90483474731445,18.755319595336914,14.108635902404785,12.488970756530762
2022-07-06,16.521728515625,59.459800720214844,18.58249282836914,13.993600845336914,12.613061904907227
2022-07-07,17.005382537841797,61.188087463378906,18.845844268798828,14.281193733215332,12.613061904907227
2022-07-08,17.19645118713379,59.77690887451172,18.85407066345215,14.289407730102539,12.683972358703613
2022-07-11,17.11285972595215,57.73942184448242,18.549575805664062,14.001811981201172,12.497834205627441
2022-07-12,16.856103897094727,57.91383743286133,18.5084228515625,14.05933666229248,12.22305965423584
2022-07-13,16.868045806884766,57.71564483642578,18.43436050415039,13.738871574401855,12.9144287109375
2022-07-14,16.41425323486328,53.87057113647461,18.22861671447754,13.42662525177002,13.15374755859375
2022-07-15,16.694889068603516,54.203556060791016,18.55780792236328,13.508795738220215,12.93215560913086
2022-07-18,17.0770320892334,54.48896026611328,18.80469512939453,13.68134880065918,12.843517303466797
2022-07-19,17.423351287841797,54.607879638671875,19.43837547302246,14.18259334564209,12.834654808044434
2022-07-20,17.417377471923828,53.426612854003906,19.191486358642578,14.001811981201172,12.675108909606934
2022-07-21,17.32781410217285,54.36210250854492,19.347848892211914,14.190808296203613,12.905564308166504
2022-07-22,17.512914657592773,54.869503021240234,19.14211082458496,14.010030746459961,12.861246109008789
2022-07-25,18.330942153930664,55.88427734375,19.42191505432129,14.199024200439453,13.011930465698242
2022-07-26,18.516040802001953,55.78121566772461,19.314929962158203,14.100414276123047,13.13602066040039
2022-07-27,18.71905517578125,55.908058166503906,19.380765914916992,14.18259334564209,13.277839660644531
2022-07-28,19.28032684326172,56.04283905029297,19.50421142578125,14.289407730102539,13.38420581817627
2022-07-29,20.390932083129883,55.297607421875,19.43837547302246,14.322274208068848,13.233522415161133
2022-08-01,20.11029815673828,53.973636627197266,19.314929962158203,14.289407730102539,12.967610359191895
2022-08-02,20.199861526489258,55.69400405883789,19.520673751831055,14.535346984863281,13.038520812988281
2022-08-03,20.211801528930664,53.52967071533203,19.66057586669922,14.76567268371582,12.967610359191895
2022-08-04,20.426755905151367,53.220481872558594,20.137897491455078,15.037132263183594,13.011930465698242
2022-08-05,20.82084083557129,53.91021728515625,20.51645278930664,15.218110084533691,12.941020011901855
2022-08-08,21.87173843383789,54.370033264160156,20.771575927734375,15.267455101013184,13.118294715881348
2022-08-09,22.229997634887695,55.49580383300781,21.314729690551758,15.4895601272583,13.065112113952637
2022-08-10,22.15834617614746,55.53544998168945,21.709754943847656,15.73634147644043,13.43738842010498
2022-08-11,21.64484214782715,57.46986770629883,21.742673873901367,15.867963790893555,13.410797119140625
2022-08-12,18.934009552001953,58.20541763305664,22.006025314331055,16.065383911132812,13.481705665588379
2022-08-15,18.93998146057129,56.95458221435547,22.195297241210938,15.983121871948242,13.667844772338867
2022-08-16,19.113140106201172,58.22208023071289,22.450422286987305,16.213449478149414,13.738753318786621
2022-08-17,19.560964584350586,56.89620590209961,22.508024215698242,16.238126754760742,13.783073425292969
2022-08-18,19.955049514770508,56.47093200683594,22.44219398498535,16.336835861206055,14.181940078735352
2022-08-19,18.945953369140625,55.83716583251953,22.172935485839844,16.131189346313477,13.880572319030762
2022-08-22,19.35198211669922,55.01995849609375,21.923236846923828,15.909085273742676,13.667844772338867
2022-08-23,19.966989517211914,58.547306060791016,21.981502532958984,16.024250030517578,13.685571670532227
2022-08-24,20.086410522460938,56.6627082824707,22.073060989379883,15.933765411376953,14.00466537475586
2022-08-25,19.871458053588867,57.76344299316406,22.34772300720215,16.048933029174805,14.022392272949219
2022-08-26,20.086410522460938,56.89620590209961,22.214550018310547,15.991347312927246,13.889436721801758
2022-08-29,20.587976455688477,55.79547119140625,22.1396427154541,16.048933029174805,13.836254119873047
2022-08-30,19.363922119140625,54.177730560302734,22.039766311645508,15.999573707580566,13.641253471374512
2022-08-31,19.841598510742188,53.785804748535156,21.482112884521484,15.596498489379883,13.534889221191406
2022-09-01,20.211801528930664,53.277130126953125,21.798391342163086,15.72812271118164,13.67670726776123
2022-09-02,19.955049514770508,52.46825408935547,22.0980224609375,15.900193214416504,13.721025466918945
2022-09-05,19.907283782958984,54.38620376586914,22.455921173095703,15.933123588562012,13.783073425292969
2022-09-06,19.16687774658203,53.09367370605469,22.247844696044922,15.83431625366211,13.791935920715332
2022-09-08,18.987751007080078,53.79414367675781,22.089706420898438,15.743743896484375,13.738753318786621
2022-09-09,18.981781005859375,57.996944427490234,22.264490127563477,15.9578275680542,13.933755874633789
2022-09-12,18.79667854309082,58.505611419677734,22.539155960083008,16.114276885986328,13.916028022766113
2022-09-13,18.30108642578125,56.912879943847656,22.30610466003418,15.990767478942871,13.818527221679688
2022-09-14,18.581724166870117,55.870521545410156,22.222877502441406,15.916655540466309,13.632390022277832
2022-09-15,18.5458984375,56.99626541137695,22.281137466430664,15.859024047851562,13.561479568481445
2022-09-16,18.37870979309082,56.912879943847656,22.20622444152832,15.677865982055664,13.534889221191406
2022-09-19,18.671287536621094,58.75577926635742,23.038545608520508,16.081340789794922,13.712162971496582
2022-09-20,18.56380844116211,57.913551330566406,23.804277420043945,16.60009002685547,13.969210624694824
